,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6,wifi7,room
700,-38,-56,-56,-37,-62,-67,-67,2
701,-37,-59,-55,-38,-65,-67,-68,2
702,-37,-60,-53,-38,-65,-67,-70,2
704,-37,-58,-56,-38,-63,-75,-74,2
705,-38,-59,-52,-44,-69,-68,-76,2
706,-48,-58,-56,-38,-65,-67,-76,2
707,-45,-58,-65,-38,-65,-66,-70,2
708,-40,-58,-52,-41,-66,-63,-75,2
709,-38,-52,-59,-48,-67,-64,-75,2
710,-39,-55,-55,-47,-80,-66,-63,2
711,-37,-55,-57,-42,-63,-65,-64,2
712,-43,-53,-51,-42,-73,-71,-66,2
714,-42,-54,-51,-47,-64,-70,-65,2
715,-42,-55,-49,-45,-64,-70,-65,2
716,-42,-54,-50,-45,-63,-68,-64,2
717,-42,-53,-49,-44,-74,-70,-65,2
718,-40,-54,-49,-43,-62,-70,-65,2
719,-40,-53,-50,-40,-62,-69,-65,2
720,-42,-54,-49,-41,-63,-69,-64,2
722,-39,-53,-51,-40,-64,-67,-64,2
723,-40,-52,-50,-41,-64,-69,-66,2
724,-40,-55,-49,-40,-61,-69,-66,2
725,-40,-53,-49,-41,-71,-66,-65,2
726,-40,-52,-49,-41,-62,-69,-65,2
727,-40,-53,-53,-40,-64,-64,-73,2
728,-42,-54,-52,-40,-61,-73,-71,2
729,-41,-58,-48,-40,-62,-72,-76,2
730,-41,-55,-58,-43,-60,-71,-72,2
731,-40,-55,-52,-43,-60,-76,-72,2
732,-41,-55,-54,-40,-62,-71,-72,2
733,-39,-53,-51,-43,-70,-72,-70,2
734,-41,-52,-57,-41,-63,-73,-68,2
735,-41,-52,-55,-40,-62,-76,-64,2
736,-36,-60,-53,-35,-72,-71,-64,2
737,-37,-55,-55,-42,-69,-66,-69,2
739,-37,-54,-55,-42,-63,-71,-78,2
740,-37,-51,-54,-43,-60,-69,-70,2
741,-36,-55,-53,-46,-63,-68,-71,2
742,-38,-54,-53,-42,-69,-72,-66,2
745,-35,-53,-55,-47,-61,-66,-71,2
746,-35,-53,-57,-46,-64,-65,-70,2
747,-35,-54,-59,-46,-62,-66,-70,2
748,-35,-53,-58,-44,-63,-68,-71,2
749,-36,-53,-57,-40,-66,-70,-69,2
750,-36,-56,-57,-46,-68,-68,-70,2
751,-37,-50,-56,-39,-67,-69,-70,2
753,-36,-54,-53,-46,-63,-66,-76,2
754,-35,-59,-57,-42,-66,-71,-70,2
755,-37,-58,-60,-37,-75,-65,-67,2
757,-44,-58,-58,-41,-75,-70,-64,2
758,-41,-57,-63,-40,-73,-66,-65,2
759,-37,-56,-55,-45,-64,-61,-69,2
760,-41,-58,-54,-42,-71,-65,-71,2
761,-40,-55,-56,-36,-64,-65,-66,2
762,-40,-57,-58,-38,-64,-74,-79,2
763,-39,-51,-57,-36,-64,-65,-71,2
764,-35,-57,-59,-36,-63,-74,-75,2
765,-35,-57,-53,-34,-64,-76,-76,2
766,-19,-57,-59,-38,-66,-72,-71,2
767,-15,-58,-56,-15,-74,-76,-71,2
768,-14,-54,-57,-15,-69,-82,-71,2
769,-10,-57,-57,-36,-73,-82,-72,2
771,-14,-55,-58,-36,-67,-72,-74,2
773,-16,-55,-56,-15,-64,-78,-76,2
775,-34,-55,-58,-15,-65,-73,-72,2
776,-34,-54,-61,-34,-70,-72,-73,2
777,-35,-55,-52,-14,-71,-69,-82,2
778,-18,-50,-57,-36,-62,-66,-71,2
779,-27,-60,-56,-18,-65,-68,-72,2
780,-18,-57,-63,-16,-72,-73,-66,2
781,-18,-57,-63,-34,-72,-65,-75,2
782,-37,-56,-58,-45,-65,-67,-72,2
783,-35,-58,-50,-35,-62,-72,-67,2
784,-37,-51,-56,-36,-62,-72,-71,2
785,-38,-55,-51,-43,-64,-73,-73,2
786,-38,-55,-51,-41,-72,-70,-73,2
787,-43,-55,-54,-42,-58,-71,-72,2
788,-40,-57,-57,-43,-68,-89,-72,2
791,-40,-55,-57,-37,-71,-79,-77,2
793,-40,-57,-51,-46,-65,-75,-79,2
795,-45,-59,-54,-51,-69,-77,-85,2
797,-39,-54,-56,-40,-70,-77,-78,2
800,-42,-55,-56,-43,-73,-76,-75,2
801,-41,-60,-54,-43,-73,-80,-74,2
802,-42,-54,-55,-49,-67,-80,-74,2
804,-42,-55,-57,-44,-69,-73,-77,2
805,-45,-55,-54,-43,-71,-89,-77,2
807,-47,-58,-55,-45,-62,-79,-85,2
808,-46,-59,-55,-49,-69,-74,-84,2
810,-46,-59,-54,-52,-67,-77,-83,2
811,-43,-55,-54,-47,-67,-77,-79,2
812,-39,-53,-56,-48,-66,-69,-72,2
813,-37,-52,-57,-36,-71,-66,-75,2
814,-42,-52,-54,-35,-65,-69,-73,2
815,-37,-50,-50,-36,-58,-69,-75,2
816,-38,-57,-50,-38,-60,-74,-69,2
817,-39,-55,-54,-48,-76,-73,-80,2
818,-49,-54,-55,-53,-66,-73,-80,2
819,-42,-54,-58,-41,-63,-75,-78,2
820,-40,-55,-53,-36,-60,-77,-77,2
822,-40,-59,-59,-39,-73,-71,-72,2
823,-36,-58,-59,-36,-69,-71,-77,2
824,-40,-58,-57,-40,-74,-79,-77,2
825,-42,-51,-54,-41,-67,-72,-77,2
826,-41,-55,-53,-37,-64,-79,-76,2
827,-42,-54,-49,-41,-68,-71,-77,2
828,-38,-53,-51,-39,-68,-76,-72,2
830,-34,-53,-59,-36,-75,-73,-69,2
831,-35,-56,-52,-36,-72,-69,-67,2
833,-35,-54,-56,-34,-61,-71,-74,2
835,-36,-54,-54,-36,-62,-71,-70,2
836,-34,-57,-55,-35,-59,-71,-69,2
837,-36,-58,-52,-26,-61,-70,-70,2
838,-34,-61,-52,-27,-61,-67,-69,2
839,-35,-56,-57,-34,-60,-73,-80,2
841,-35,-59,-57,-27,-61,-71,-76,2
843,-36,-60,-53,-36,-63,-70,-77,2
844,-34,-62,-57,-36,-61,-71,-71,2
846,-37,-59,-57,-36,-64,-66,-70,2
847,-36,-59,-55,-36,-65,-66,-70,2
848,-36,-59,-55,-40,-65,-66,-69,2
849,-35,-55,-56,-37,-66,-65,-69,2
850,-34,-55,-55,-36,-62,-70,-71,2
851,-35,-58,-55,-36,-62,-70,-73,2
852,-41,-58,-53,-43,-61,-70,-70,2
853,-37,-56,-58,-36,-80,-72,-70,2
854,-36,-60,-57,-37,-80,-72,-72,2
856,-35,-53,-62,-35,-68,-70,-69,2
857,-36,-61,-57,-27,-71,-73,-70,2
858,-13,-54,-57,-21,-77,-72,-72,2
859,-12,-54,-54,-11,-70,-75,-74,2
860,-17,-56,-54,-36,-66,-73,-77,2
861,-18,-53,-60,-17,-71,-74,-71,2
864,-36,-54,-57,-34,-60,-69,-75,2
865,-39,-57,-54,-38,-56,-70,-72,2
866,-26,-57,-53,-37,-67,-72,-69,2
867,-17,-57,-55,-15,-62,-68,-70,2
868,-17,-56,-57,-35,-71,-69,-74,2
869,-11,-63,-65,-18,-70,-72,-73,2
870,-10,-58,-54,-18,-70,-72,-73,2
871,-12,-55,-57,-16,-70,-76,-75,2
872,-12,-56,-58,-16,-70,-75,-79,2
874,-13,-55,-55,-21,-70,-73,-77,2
875,-36,-55,-50,-41,-66,-72,-69,2
876,-35,-52,-55,-38,-62,-66,-85,2
877,-38,-54,-52,-36,-63,-65,-70,2
878,-39,-52,-53,-36,-61,-67,-70,2
881,-38,-54,-51,-37,-66,-74,-76,2
882,-37,-58,-55,-38,-60,-74,-76,2
885,-36,-55,-59,-37,-63,-70,-73,2
887,-48,-53,-56,-37,-59,-75,-83,2
889,-38,-53,-54,-43,-70,-77,-75,2
890,-43,-54,-56,-40,-67,-70,-71,2
892,-40,-54,-52,-39,-65,-70,-74,2
893,-43,-52,-55,-35,-61,-75,-76,2
896,-39,-58,-54,-39,-62,-71,-77,2
897,-37,-54,-54,-41,-64,-72,-78,2
898,-39,-52,-50,-39,-61,-75,-71,2
900,-41,-54,-59,-41,-60,-76,-74,2
901,-42,-54,-54,-43,-59,-74,-72,2
902,-39,-57,-55,-42,-61,-74,-75,2
903,-42,-54,-56,-39,-63,-76,-78,2
904,-38,-56,-48,-39,-63,-70,-73,2
906,-40,-50,-50,-37,-64,-71,-78,2
907,-37,-55,-56,-37,-67,-70,-66,2
908,-38,-54,-55,-36,-60,-71,-75,2
909,-42,-53,-62,-27,-63,-72,-79,2
910,-36,-51,-52,-37,-70,-71,-64,2
911,-36,-55,-54,-36,-67,-65,-73,2
912,-38,-60,-57,-39,-70,-70,-74,2
913,-36,-50,-58,-41,-74,-74,-69,2
914,-37,-58,-53,-43,-76,-66,-69,2
915,-38,-56,-52,-41,-76,-71,-66,2
916,-36,-56,-56,-37,-59,-66,-75,2
917,-36,-55,-54,-40,-71,-71,-71,2
918,-19,-53,-60,-37,-69,-72,-69,2
919,-37,-53,-54,-37,-67,-79,-72,2
920,-36,-57,-58,-36,-62,-74,-73,2
921,-36,-55,-53,-35,-64,-72,-66,2
922,-37,-53,-56,-35,-74,-76,-79,2
923,-37,-57,-55,-40,-75,-71,-64,2
924,-35,-58,-54,-36,-69,-69,-73,2
926,-36,-58,-56,-39,-62,-67,-73,2
927,-19,-60,-54,-35,-69,-69,-78,2
928,-17,-62,-54,-22,-65,-70,-72,2
929,-34,-53,-52,-19,-65,-75,-69,2
930,-15,-55,-62,-25,-71,-67,-68,2
932,-11,-59,-60,-27,-70,-74,-71,2
933,-34,-53,-56,-18,-70,-76,-75,2
934,-36,-54,-56,-35,-61,-70,-79,2
935,-36,-52,-59,-38,-64,-72,-74,2
936,-38,-55,-56,-42,-66,-72,-75,2
937,-38,-54,-53,-36,-66,-73,-75,2
939,-38,-50,-49,-42,-69,-73,-77,2
940,-38,-53,-52,-40,-63,-73,-77,2
941,-41,-54,-52,-37,-68,-73,-77,2
942,-46,-51,-51,-36,-67,-73,-76,2
943,-40,-53,-51,-37,-78,-73,-77,2
944,-45,-53,-51,-36,-78,-72,-76,2
945,-44,-52,-51,-36,-78,-72,-77,2
946,-44,-53,-52,-36,-70,-72,-76,2
947,-40,-54,-52,-35,-68,-71,-76,2
948,-39,-59,-49,-37,-68,-70,-72,2
949,-39,-52,-56,-36,-64,-68,-69,2
950,-38,-55,-56,-36,-64,-70,-66,2
951,-38,-56,-48,-39,-71,-72,-71,2
953,-40,-58,-49,-41,-75,-71,-70,2
954,-40,-57,-47,-42,-64,-74,-71,2
955,-40,-58,-47,-41,-65,-73,-70,2
957,-40,-57,-47,-42,-69,-73,-70,2
958,-38,-52,-50,-41,-69,-68,-72,2
961,-36,-58,-54,-27,-67,-73,-78,2
962,-36,-54,-52,-20,-66,-70,-74,2
963,-37,-57,-51,-39,-70,-76,-72,2
964,-35,-51,-53,-37,-63,-72,-76,2
965,-38,-51,-53,-38,-63,-72,-73,2
967,-36,-52,-55,-36,-69,-64,-70,2
968,-37,-54,-47,-36,-63,-70,-70,2
971,-40,-52,-53,-39,-61,-75,-73,2
972,-43,-55,-50,-39,-61,-69,-73,2
975,-43,-47,-50,-45,-65,-66,-69,2
977,-36,-55,-51,-37,-75,-71,-70,2
978,-38,-59,-61,-36,-68,-69,-73,2
979,-36,-55,-58,-37,-76,-72,-69,2
980,-37,-53,-57,-38,-71,-68,-64,2
981,-34,-60,-52,-37,-71,-66,-75,2
982,-34,-54,-56,-42,-68,-76,-75,2
983,-39,-57,-50,-35,-63,-70,-79,2
985,-38,-52,-62,-37,-69,-73,-71,2
986,-42,-52,-56,-43,-64,-76,-74,2
987,-39,-54,-55,-37,-64,-70,-70,2
988,-43,-57,-52,-40,-58,-72,-70,2
991,-38,-58,-62,-41,-64,-76,-73,2
992,-43,-54,-59,-40,-68,-76,-74,2
993,-45,-52,-59,-43,-71,-74,-79,2
995,-47,-60,-56,-48,-85,-85,-81,2
996,-50,-56,-55,-47,-63,-86,-77,2
997,-48,-57,-56,-49,-64,-87,-76,2
999,-45,-58,-54,-46,-69,-87,-77,2
1000,-48,-54,-50,-49,-61,-81,-84,3
1001,-54,-53,-54,-50,-63,-79,-77,3
1003,-49,-57,-52,-51,-60,-89,-83,3
1004,-48,-52,-54,-47,-61,-80,-86,3
1005,-46,-56,-53,-53,-61,-87,-77,3
1006,-52,-56,-58,-48,-59,-87,-92,3
1007,-45,-51,-59,-53,-62,-82,-85,3
1009,-49,-53,-55,-46,-59,-81,-93,3
1010,-49,-52,-58,-46,-57,-77,-77,3
1012,-50,-49,-54,-48,-62,-79,-75,3
1013,-56,-51,-47,-51,-71,-79,-75,3
1015,-60,-54,-50,-50,-60,-84,-85,3
1016,-48,-56,-50,-45,-61,-80,-80,3
1017,-49,-49,-53,-48,-63,-84,-88,3
1020,-46,-58,-54,-49,-62,-81,-88,3
1021,-46,-56,-54,-49,-63,-81,-82,3
1022,-47,-54,-55,-47,-66,-78,-86,3
1023,-47,-53,-49,-49,-66,-76,-80,3
1024,-45,-54,-48,-49,-65,-78,-81,3
1025,-45,-53,-55,-49,-63,-78,-81,3
1027,-45,-54,-54,-48,-63,-78,-82,3
1028,-45,-53,-55,-50,-63,-83,-82,3
1029,-45,-55,-54,-47,-63,-78,-80,3
1030,-46,-53,-54,-46,-63,-79,-82,3
1031,-46,-52,-54,-47,-64,-79,-81,3
1032,-46,-60,-54,-48,-63,-80,-83,3
1034,-47,-55,-55,-49,-67,-85,-80,3
1035,-46,-58,-55,-49,-64,-78,-84,3
1036,-46,-60,-56,-47,-66,-83,-85,3
1038,-48,-55,-58,-49,-67,-83,-88,3
1039,-48,-52,-52,-56,-68,-81,-84,3
1040,-49,-51,-58,-45,-65,-83,-84,3
1041,-52,-60,-59,-40,-60,-81,-81,3
1042,-52,-56,-56,-41,-63,-77,-80,3
1043,-48,-57,-54,-50,-66,-83,-78,3
1044,-49,-53,-51,-53,-67,-81,-83,3
1045,-48,-53,-51,-50,-66,-79,-86,3
1047,-49,-52,-56,-48,-55,-81,-82,3
1048,-53,-54,-59,-54,-62,-81,-82,3
1049,-55,-51,-52,-48,-60,-78,-86,3
1050,-49,-52,-57,-54,-59,-85,-88,3
1051,-54,-55,-52,-50,-58,-78,-86,3
1053,-51,-51,-52,-57,-56,-81,-77,3
1054,-46,-54,-50,-54,-59,-81,-77,3
1055,-49,-53,-50,-55,-59,-80,-87,3
1056,-48,-50,-54,-51,-59,-77,-75,3
1057,-49,-53,-53,-51,-64,-79,-80,3
1058,-48,-53,-50,-55,-66,-83,-82,3
1060,-45,-59,-56,-54,-64,-84,-78,3
1061,-50,-57,-60,-43,-66,-77,-82,3
1062,-46,-53,-52,-45,-62,-79,-78,3
1063,-47,-53,-55,-57,-62,-80,-78,3
1064,-48,-55,-54,-48,-67,-85,-81,3
1065,-44,-53,-55,-48,-66,-79,-86,3
1066,-43,-55,-53,-52,-60,-78,-86,3
1067,-50,-56,-56,-60,-60,-78,-86,3
1068,-50,-58,-54,-51,-60,-80,-82,3
1069,-51,-56,-51,-55,-62,-85,-83,3
1070,-47,-54,-49,-52,-58,-79,-86,3
1071,-54,-59,-52,-63,-62,-76,-81,3
1074,-52,-48,-56,-53,-62,-78,-81,3
1075,-49,-55,-51,-49,-63,-81,-73,3
1077,-45,-56,-57,-47,-61,-76,-78,3
1078,-48,-55,-58,-52,-64,-92,-79,3
1080,-49,-50,-51,-50,-62,-75,-75,3
1081,-49,-55,-48,-49,-62,-79,-84,3
1082,-50,-56,-48,-48,-63,-80,-91,3
1083,-50,-58,-51,-52,-60,-81,-79,3
1084,-49,-52,-46,-48,-60,-79,-80,3
1085,-52,-52,-49,-49,-58,-77,-84,3
1087,-49,-52,-48,-44,-59,-80,-78,3
1088,-47,-58,-49,-45,-66,-85,-79,3
1089,-51,-52,-49,-50,-63,-79,-79,3
1090,-49,-51,-53,-41,-64,-77,-79,3
1091,-49,-52,-54,-52,-60,-83,-79,3
1092,-50,-56,-53,-40,-65,-86,-80,3
1093,-47,-58,-56,-44,-64,-80,-85,3
1094,-47,-53,-54,-49,-63,-88,-85,3
1095,-50,-57,-54,-44,-67,-85,-85,3
1097,-45,-50,-57,-49,-63,-81,-82,3
1098,-48,-59,-53,-45,-74,-81,-81,3
1100,-51,-55,-54,-49,-60,-79,-84,3
1101,-51,-58,-51,-51,-62,-79,-86,3
1102,-53,-59,-51,-41,-59,-78,-77,3
1104,-52,-52,-57,-45,-67,-81,-86,3
1105,-50,-55,-51,-57,-58,-86,-86,3
1106,-45,-53,-50,-49,-67,-75,-77,3
1107,-49,-55,-49,-49,-60,-80,-79,3
1108,-46,-53,-54,-52,-64,-79,-84,3
1109,-46,-49,-51,-45,-62,-79,-79,3
1110,-54,-52,-53,-43,-68,-79,-79,3
1111,-51,-55,-50,-50,-59,-79,-85,3
1112,-48,-60,-57,-52,-61,-85,-84,3
1113,-51,-63,-55,-54,-69,-84,-79,3
1114,-52,-64,-54,-56,-70,-84,-78,3
1116,-52,-62,-55,-52,-67,-83,-75,3
1117,-52,-60,-52,-54,-66,-85,-79,3
1119,-50,-59,-55,-47,-72,-79,-80,3
1120,-51,-52,-56,-56,-63,-79,-80,3
1121,-51,-55,-51,-49,-61,-82,-81,3
1122,-53,-52,-51,-53,-64,-80,-81,3
1123,-51,-51,-52,-52,-63,-84,-78,3
1124,-52,-52,-52,-49,-62,-80,-80,3
1125,-51,-52,-51,-54,-61,-79,-76,3
1126,-51,-54,-52,-57,-62,-79,-79,3
1127,-50,-59,-53,-54,-65,-77,-78,3
1128,-53,-59,-48,-57,-66,-80,-77,3
1130,-51,-57,-51,-51,-65,-80,-80,3
1132,-52,-57,-49,-50,-66,-80,-80,3
1133,-52,-56,-50,-56,-66,-81,-80,3
1134,-52,-56,-50,-56,-69,-79,-78,3
1135,-53,-58,-50,-52,-66,-78,-79,3
1136,-53,-56,-50,-50,-67,-80,-81,3
1137,-49,-56,-49,-52,-64,-83,-80,3
1138,-52,-56,-47,-53,-61,-78,-79,3
1140,-53,-56,-46,-51,-62,-80,-80,3
1141,-53,-57,-50,-54,-60,-80,-81,3
1142,-52,-56,-50,-52,-60,-80,-80,3
1143,-52,-56,-50,-54,-59,-79,-80,3
1144,-52,-58,-51,-53,-60,-80,-80,3
1145,-52,-55,-56,-51,-69,-85,-85,3
1150,-49,-58,-55,-52,-60,-83,-84,3
1151,-50,-49,-52,-56,-69,-80,-81,3
1152,-46,-56,-52,-51,-62,-85,-81,3
1154,-50,-56,-53,-52,-68,-84,-77,3
1155,-50,-52,-52,-56,-67,-80,-89,3
1156,-51,-53,-52,-55,-68,-78,-91,3
1157,-51,-60,-52,-52,-67,-79,-91,3
1158,-51,-52,-51,-51,-64,-79,-89,3
1159,-52,-52,-50,-49,-66,-77,-88,3
1160,-50,-52,-52,-47,-65,-77,-89,3
1161,-51,-52,-51,-51,-65,-77,-89,3
1162,-51,-52,-51,-47,-65,-76,-87,3
1164,-51,-51,-51,-51,-65,-78,-88,3
1165,-51,-52,-51,-50,-69,-77,-88,3
1166,-52,-53,-49,-50,-69,-79,-87,3
1167,-51,-53,-50,-51,-66,-77,-88,3
1169,-51,-53,-52,-54,-65,-77,-87,3
1170,-52,-53,-53,-56,-64,-78,-88,3
1171,-50,-53,-52,-50,-64,-78,-88,3
1172,-51,-52,-51,-55,-66,-78,-89,3
1173,-52,-53,-51,-55,-65,-78,-88,3
1174,-51,-52,-52,-56,-68,-79,-87,3
1175,-51,-53,-52,-55,-67,-78,-88,3
1176,-51,-53,-56,-56,-64,-77,-88,3
1177,-51,-52,-53,-55,-64,-78,-91,3
1178,-50,-54,-54,-54,-66,-77,-86,3
1179,-49,-53,-50,-55,-64,-79,-86,3
1180,-51,-52,-50,-56,-67,-79,-91,3
1181,-50,-53,-50,-55,-68,-78,-87,3
1182,-50,-53,-53,-55,-67,-78,-89,3
1183,-50,-52,-52,-55,-67,-79,-91,3
1184,-51,-53,-55,-50,-67,-76,-88,3
1187,-49,-54,-53,-50,-70,-78,-86,3
1188,-50,-54,-53,-46,-66,-78,-87,3
1189,-50,-54,-52,-49,-67,-79,-86,3
1190,-49,-53,-50,-48,-67,-78,-88,3
1191,-52,-54,-53,-50,-68,-78,-85,3
1192,-50,-53,-52,-55,-67,-77,-88,3
1193,-49,-54,-53,-55,-67,-77,-86,3
1194,-50,-53,-52,-55,-68,-78,-86,3
1196,-50,-52,-51,-54,-67,-77,-88,3
1198,-49,-52,-52,-53,-65,-77,-85,3
1199,-52,-50,-53,-54,-68,-76,-85,3
1200,-51,-54,-53,-55,-66,-77,-85,3
1201,-51,-52,-56,-52,-66,-80,-89,3
1202,-48,-57,-49,-53,-62,-79,-87,3
1203,-47,-60,-59,-55,-70,-79,-85,3
1204,-57,-58,-56,-55,-71,-84,-87,3
1205,-55,-58,-55,-54,-70,-81,-87,3
1207,-55,-66,-57,-52,-70,-84,-84,3
1208,-52,-57,-58,-57,-68,-86,-83,3
1209,-50,-60,-73,-58,-68,-88,-92,3
1210,-49,-59,-57,-50,-72,-80,-91,3
1211,-49,-59,-56,-50,-63,-80,-91,3
1212,-49,-62,-56,-50,-63,-83,-89,3
1213,-49,-61,-56,-49,-64,-84,-89,3
1214,-49,-60,-55,-49,-63,-85,-89,3
1215,-49,-60,-56,-50,-63,-84,-87,3
1216,-49,-61,-55,-49,-62,-84,-89,3
1217,-49,-61,-55,-53,-72,-85,-92,3
1218,-53,-57,-62,-55,-60,-86,-83,3
1219,-51,-56,-60,-48,-60,-86,-83,3
1220,-45,-59,-57,-51,-62,-77,-85,3
1221,-48,-58,-55,-49,-60,-80,-83,3
1222,-49,-64,-53,-52,-63,-73,-78,3
1223,-48,-66,-57,-51,-70,-81,-80,3
1224,-49,-64,-58,-53,-70,-84,-80,3
1225,-48,-61,-57,-51,-67,-83,-76,3
1226,-49,-64,-58,-51,-70,-86,-78,3
1227,-51,-64,-59,-49,-71,-87,-77,3
1228,-51,-62,-59,-50,-66,-85,-77,3
1229,-51,-62,-59,-52,-68,-85,-78,3
1230,-47,-64,-57,-51,-64,-85,-78,3
1231,-45,-63,-60,-53,-67,-83,-85,3
1232,-51,-60,-57,-54,-64,-84,-83,3
1233,-51,-58,-55,-54,-67,-86,-83,3
1234,-49,-52,-52,-51,-63,-78,-74,3
1235,-51,-53,-54,-53,-62,-83,-82,3
1236,-46,-46,-52,-52,-57,-77,-82,3
1237,-48,-46,-50,-54,-63,-87,-77,3
1238,-54,-54,-50,-54,-60,-81,-79,3
1239,-49,-56,-53,-52,-58,-89,-86,3
1240,-52,-52,-53,-53,-56,-78,-79,3
1241,-52,-55,-55,-54,-65,-85,-78,3
1242,-55,-51,-51,-55,-59,-89,-78,3
1243,-63,-52,-51,-56,-59,-89,-84,3
1244,-55,-53,-52,-56,-58,-85,-88,3
1245,-56,-52,-51,-57,-64,-86,-91,3
1246,-56,-52,-50,-58,-57,-85,-88,3
1247,-54,-53,-50,-58,-58,-84,-87,3
1248,-53,-54,-53,-60,-60,-86,-91,3
1249,-49,-54,-50,-55,-63,-85,-81,3
1250,-50,-52,-54,-55,-64,-83,-74,3
1251,-45,-52,-54,-53,-56,-83,-79,3
1252,-45,-50,-50,-55,-57,-76,-75,3
1253,-49,-55,-50,-53,-62,-76,-75,3
1254,-48,-57,-51,-51,-60,-79,-80,3
1255,-47,-50,-53,-47,-63,-76,-79,3
1256,-50,-51,-49,-48,-54,-77,-77,3
1258,-46,-55,-48,-52,-62,-80,-79,3
1259,-51,-52,-50,-49,-60,-77,-76,3
1260,-49,-59,-57,-49,-67,-85,-83,3
1261,-50,-56,-51,-49,-67,-84,-81,3
1262,-51,-60,-59,-46,-68,-78,-83,3
1263,-52,-54,-53,-51,-61,-83,-81,3
1264,-46,-51,-50,-48,-64,-82,-78,3
1265,-44,-56,-54,-52,-63,-80,-79,3
1266,-49,-56,-54,-55,-62,-78,-81,3
1267,-47,-52,-56,-56,-62,-83,-83,3
1268,-51,-54,-53,-52,-63,-81,-76,3
1269,-51,-54,-51,-53,-60,-86,-79,3
1271,-45,-46,-58,-53,-59,-77,-82,3
1272,-47,-57,-57,-52,-69,-79,-77,3
1273,-54,-61,-51,-44,-63,-79,-76,3
1274,-44,-53,-51,-49,-60,-84,-76,3
1275,-43,-57,-51,-52,-62,-79,-77,3
1276,-50,-54,-49,-46,-64,-85,-77,3
1277,-46,-60,-54,-50,-62,-79,-74,3
1278,-46,-53,-47,-52,-57,-79,-85,3
1279,-51,-48,-56,-53,-61,-80,-79,3
1280,-52,-51,-49,-56,-65,-81,-83,3
1281,-50,-57,-50,-59,-62,-91,-93,3
1282,-53,-53,-50,-55,-59,-86,-81,3
1283,-49,-55,-49,-49,-60,-81,-81,3
1284,-47,-57,-49,-46,-63,-84,-86,3
1285,-51,-52,-48,-48,-62,-85,-78,3
1286,-51,-51,-45,-53,-59,-84,-76,3
1293,-49,-56,-51,-54,-65,-79,-78,3
1295,-52,-60,-52,-48,-70,-79,-79,3
1296,-53,-58,-50,-48,-64,-88,-80,3
1297,-47,-54,-51,-47,-66,-88,-80,3
1298,-48,-55,-51,-55,-69,-88,-80,3
1299,-46,-53,-50,-53,-64,-81,-86,3
1300,-52,-60,-51,-46,-63,-84,-77,3
1301,-53,-57,-50,-47,-62,-86,-81,3
1302,-53,-58,-51,-48,-63,-85,-78,3
1303,-53,-58,-51,-48,-63,-88,-80,3
1304,-52,-58,-50,-53,-64,-87,-81,3
1305,-54,-56,-50,-50,-64,-87,-80,3
1306,-52,-52,-51,-51,-74,-86,-80,3
1307,-51,-62,-53,-51,-67,-79,-89,3
1309,-52,-61,-51,-52,-66,-80,-89,3
1310,-53,-62,-51,-52,-67,-79,-89,3
1311,-53,-62,-52,-53,-65,-79,-91,3
1312,-46,-60,-52,-55,-61,-85,-85,3
1313,-43,-59,-51,-53,-61,-83,-85,3
1314,-44,-60,-52,-49,-63,-84,-84,3
1315,-47,-57,-57,-52,-62,-86,-84,3
1316,-47,-57,-56,-51,-64,-80,-86,3
1317,-47,-56,-58,-56,-62,-81,-83,3
1318,-48,-55,-58,-50,-63,-81,-86,3
1319,-47,-55,-58,-50,-60,-81,-84,3
1320,-47,-64,-53,-54,-60,-83,-84,3
1321,-45,-63,-57,-55,-58,-79,-85,3
1322,-45,-63,-57,-53,-57,-81,-84,3
1323,-45,-60,-59,-52,-57,-83,-85,3
1325,-47,-56,-53,-53,-66,-85,-85,3
1326,-48,-58,-52,-53,-61,-88,-83,3
1327,-46,-55,-53,-52,-57,-81,-86,3
1328,-46,-57,-53,-48,-58,-80,-86,3
1330,-53,-56,-51,-50,-61,-83,-81,3
1331,-54,-55,-50,-49,-60,-84,-81,3
1332,-53,-58,-51,-50,-62,-84,-81,3
1333,-53,-54,-54,-50,-61,-82,-84,3
1334,-52,-55,-52,-52,-62,-82,-84,3
1335,-52,-56,-53,-50,-62,-84,-81,3
1336,-52,-55,-51,-49,-62,-86,-84,3
1337,-53,-55,-52,-46,-63,-86,-85,3
1339,-52,-54,-51,-49,-63,-87,-84,3
1341,-51,-55,-51,-48,-63,-88,-84,3
1342,-52,-56,-51,-46,-63,-86,-82,3
1343,-52,-55,-51,-49,-64,-87,-84,3
1344,-51,-55,-52,-49,-64,-86,-83,3
1345,-52,-54,-52,-49,-63,-86,-81,3
1346,-52,-55,-52,-49,-63,-88,-85,3
1347,-51,-55,-52,-48,-63,-87,-85,3
1349,-52,-56,-52,-49,-63,-87,-85,3
1350,-52,-56,-52,-50,-65,-86,-84,3
1351,-52,-56,-51,-50,-65,-87,-82,3
1352,-51,-58,-52,-48,-68,-86,-84,3
1353,-52,-56,-52,-49,-61,-86,-81,3
1354,-52,-55,-52,-50,-61,-86,-84,3
1355,-52,-56,-52,-44,-63,-87,-84,3
1356,-52,-55,-52,-43,-61,-86,-83,3
1357,-51,-57,-52,-49,-60,-84,-83,3
1358,-46,-53,-51,-49,-68,-79,-85,3
